date;DSP;length;source;isrc;track_artist;track_name;album_title;cpline;album_release_date;days_since_release;streams
2026-02-02;UMA;Полный стрим;Другое;RUAGW2600605;Makishima;Bounce Rusty;Makishima - Bounce;℗ 2026 ROSSEL 66;2026-01-23;10;7
2026-02-02;Яндекс Музыка;0-5 сек;Медиатека;RUAGW2600605;Makishima;Bounce Rusty;Makishima - Bounce;℗ 2026 ROSSEL 66;2026-01-23;10;16
2026-02-02;Яндекс Музыка;0-5 сек;Поиск;RUAGW2600605;Makishima;Bounce Rusty;Makishima - Bounce;℗ 2026 ROSSEL 66;2026-01-23;10;1
2026-02-02;Яндекс Музыка;6-29 сек;Плейлисты;RUAGW2600605;Makishima;Bounce Rusty;Makishima - Bounce;℗ 2026 ROSSEL 66;2026-01-23;10;11
2026-02-02;Яндекс Музыка;6-29 сек;Поиск;RUAGW2600605;Makishima;Bounce Rusty;Makishima - Bounce;℗ 2026 ROSSEL 66;2026-01-23;10;1
2026-02-02;Яндекс Музыка;Полный стрим;Моя Волна;RUAGW2600605;Makishima;Bounce Rusty;Makishima - Bounce;℗ 2026 ROSSEL 66;2026-01-23;10;59
2026-02-02;UMA;Платный стрим (30+ сек);Карточка артиста;RUAGW2600605;Makishima;Bounce Rusty;Makishima - Bounce;℗ 2026 ROSSEL 66;2026-01-23;10;1
2026-02-02;КИОН Музыка;Полный стрим;Медиатека;RUAGW2600605;Makishima;Bounce Rusty;Makishima - Bounce;℗ 2026 ROSSEL 66;2026-01-23;10;1
2026-02-02;Яндекс Музыка;0-5 сек;Моя Волна;RUAGW2600605;Makishima;Bounce Rusty;Makishima - Bounce;℗ 2026 ROSSEL 66;2026-01-23;10;106
2026-02-02;КИОН Музыка;Полный стрим;Моя Волна;RUAGW2600605;Makishima;Bounce Rusty;Makishima - Bounce;℗ 2026 ROSSEL 66;2026-01-23;10;1
2026-02-02;UMA;Платный стрим (30+ сек);Популярное;RUAGW2600605;Makishima;Bounce Rusty;Makishima - Bounce;℗ 2026 ROSSEL 66;2026-01-23;10;1
2026-02-02;КИОН Музыка;6-29 сек;Моя Волна;RUAGW2600605;Makishima;Bounce Rusty;Makishima - Bounce;℗ 2026 ROSSEL 66;2026-01-23;10;2
2026-02-02;Яндекс Музыка;6-29 сек;Альбом;RUAGW2600605;Makishima;Bounce Rusty;Makishima - Bounce;℗ 2026 ROSSEL 66;2026-01-23;10;8
2026-02-02;Яндекс Музыка;6-29 сек;Медиатека;RUAGW2600605;Makishima;Bounce Rusty;Makishima - Bounce;℗ 2026 ROSSEL 66;2026-01-23;10;11
2026-02-02;Яндекс Музыка;6-29 сек;Моя Волна;RUAGW2600605;Makishima;Bounce Rusty;Makishima - Bounce;℗ 2026 ROSSEL 66;2026-01-23;10;98
2026-02-02;Яндекс Музыка;Платный стрим (30+ сек);Альбом;RUAGW2600605;Makishima;Bounce Rusty;Makishima - Bounce;℗ 2026 ROSSEL 66;2026-01-23;10;8
2026-02-02;Яндекс Музыка;Полный стрим;Альбом;RUAGW2600605;Makishima;Bounce Rusty;Makishima - Bounce;℗ 2026 ROSSEL 66;2026-01-23;10;25
2026-02-02;UMA;0-5 сек;Медиатека;RUAGW2600605;Makishima;Bounce Rusty;Makishima - Bounce;℗ 2026 ROSSEL 66;2026-01-23;10;3
2026-02-02;UMA;6-29 сек;Поиск;RUAGW2600605;Makishima;Bounce Rusty;Makishima - Bounce;℗ 2026 ROSSEL 66;2026-01-23;10;2
2026-02-02;UMA;Платный стрим (30+ сек);Поиск;RUAGW2600605;Makishima;Bounce Rusty;Makishima - Bounce;℗ 2026 ROSSEL 66;2026-01-23;10;1
2026-02-02;Яндекс Музыка;Платный стрим (30+ сек);Моя Волна;RUAGW2600605;Makishima;Bounce Rusty;Makishima - Bounce;℗ 2026 ROSSEL 66;2026-01-23;10;43
2026-02-02;КИОН Музыка;6-29 сек;Медиатека;RUAGW2600605;Makishima;Bounce Rusty;Makishima - Bounce;℗ 2026 ROSSEL 66;2026-01-23;10;1
2026-02-02;UMA;Платный стрим (30+ сек);Другое;RUAGW2600605;Makishima;Bounce Rusty;Makishima - Bounce;℗ 2026 ROSSEL 66;2026-01-23;10;2
2026-02-02;Яндекс Музыка;0-5 сек;Медиатека;FR96X2566422;MEELBRN;FULL CLIP;MEELBRN - FULL CLIP;℗ 2025 ROSSEL 66;2025-04-11;297;5
2026-02-02;Яндекс Музыка;Платный стрим (30+ сек);Моя Волна;FR96X2566422;MEELBRN;FULL CLIP;MEELBRN - FULL CLIP;℗ 2025 ROSSEL 66;2025-04-11;297;2
2026-02-02;Яндекс Музыка;Платный стрим (30+ сек);Медиатека;FR96X2566422;MEELBRN;FULL CLIP;MEELBRN - FULL CLIP;℗ 2025 ROSSEL 66;2025-04-11;297;1
2026-02-02;Яндекс Музыка;6-29 сек;Моя Волна;FR96X2566422;MEELBRN;FULL CLIP;MEELBRN - FULL CLIP;℗ 2025 ROSSEL 66;2025-04-11;297;7
2026-02-02;Яндекс Музыка;Полный стрим;Моя Волна;FR96X2566422;MEELBRN;FULL CLIP;MEELBRN - FULL CLIP;℗ 2025 ROSSEL 66;2025-04-11;297;11
2026-02-02;Яндекс Музыка;0-5 сек;Моя Волна;FR96X2566422;MEELBRN;FULL CLIP;MEELBRN - FULL CLIP;℗ 2025 ROSSEL 66;2025-04-11;297;28
2026-02-02;Яндекс Музыка;0-5 сек;Плейлисты;FR96X2566422;MEELBRN;FULL CLIP;MEELBRN - FULL CLIP;℗ 2025 ROSSEL 66;2025-04-11;297;1
2026-02-02;Яндекс Музыка;Полный стрим;Медиатека;FR96X2566422;MEELBRN;FULL CLIP;MEELBRN - FULL CLIP;℗ 2025 ROSSEL 66;2025-04-11;297;7
2026-02-02;Яндекс Музыка;6-29 сек;Альбом;FRX872531472;DRUGPY;COLD;"Drugpy;rompy - CR3SCENT";℗ 2025 ROSSEL 66;2025-08-22;164;1
2026-02-02;Яндекс Музыка;0-5 сек;Медиатека;FRX872531472;DRUGPY;COLD;"Drugpy;rompy - CR3SCENT";℗ 2025 ROSSEL 66;2025-08-22;164;1
2026-02-02;КИОН Музыка;0-5 сек;Моя Волна;RUAGW2600604;Makishima;Bounce;Makishima - Bounce;℗ 2026 ROSSEL 66;2026-01-23;10;1
2026-02-02;Яндекс Музыка;6-29 сек;Поиск;RUAGW2600604;Makishima;Bounce;Makishima - Bounce;℗ 2026 ROSSEL 66;2026-01-23;10;2
2026-02-02;UMA;Полный стрим;Альбом;RUAGW2600604;Makishima;Bounce;Makishima - Bounce;℗ 2026 ROSSEL 66;2026-01-23;10;20
2026-02-02;UMA;0-5 сек;Альбом;RUAGW2600604;Makishima;Bounce;Makishima - Bounce;℗ 2026 ROSSEL 66;2026-01-23;10;4
2026-02-02;UMA;0-5 сек;Рекомендации;RUAGW2600604;Makishima;Bounce;Makishima - Bounce;℗ 2026 ROSSEL 66;2026-01-23;10;1
2026-02-02;UMA;Платный стрим (30+ сек);Медиатека;RUAGW2600604;Makishima;Bounce;Makishima - Bounce;℗ 2026 ROSSEL 66;2026-01-23;10;8
2026-02-02;Яндекс Музыка;0-5 сек;Моя Волна;RUAGW2600604;Makishima;Bounce;Makishima - Bounce;℗ 2026 ROSSEL 66;2026-01-23;10;12
2026-02-02;Яндекс Музыка;6-29 сек;Медиатека;RUAGW2600604;Makishima;Bounce;Makishima - Bounce;℗ 2026 ROSSEL 66;2026-01-23;10;11
2026-02-02;Яндекс Музыка;Платный стрим (30+ сек);Поиск;RUAGW2600604;Makishima;Bounce;Makishima - Bounce;℗ 2026 ROSSEL 66;2026-01-23;10;4
2026-02-02;Яндекс Музыка;Полный стрим;Плейлисты;RUAGW2600604;Makishima;Bounce;Makishima - Bounce;℗ 2026 ROSSEL 66;2026-01-23;10;3
2026-02-02;UMA;6-29 сек;Другое;RUAGW2600604;Makishima;Bounce;Makishima - Bounce;℗ 2026 ROSSEL 66;2026-01-23;10;14
2026-02-02;Яндекс Музыка;Платный стрим (30+ сек);Моя Волна;RUAGW2600604;Makishima;Bounce;Makishima - Bounce;℗ 2026 ROSSEL 66;2026-01-23;10;4
2026-02-02;UMA;0-5 сек;Поиск;RUAGW2600604;Makishima;Bounce;Makishima - Bounce;℗ 2026 ROSSEL 66;2026-01-23;10;2
2026-02-02;UMA;Полный стрим;Рекомендации;RUAGW2600604;Makishima;Bounce;Makishima - Bounce;℗ 2026 ROSSEL 66;2026-01-23;10;3
2026-02-02;Яндекс Музыка;6-29 сек;Плейлисты;RUAGW2600604;Makishima;Bounce;Makishima - Bounce;℗ 2026 ROSSEL 66;2026-01-23;10;2
2026-02-02;UMA;6-29 сек;Медиатека;RUAGW2600604;Makishima;Bounce;Makishima - Bounce;℗ 2026 ROSSEL 66;2026-01-23;10;10
